Category,SubCategory,ManufacturerPartNo,Manufacturer,ItemName,Description,Stock,Price,Packaging,Series,DatasheetUrl,ImageUrls,AdditionalFields
Connectors,Headers and Wire Housings,MTP125-1105S1,MINTRON,Male Headers,Straight Square Pins 2.5mm 6mm -40?~+105? 1 3mm 5 2.54mm Black Brass 1x5P PluginP=2.54mm Pin Headers ROHS,15,5.601,,,https://datasheet.lcsc.com/lcsc/1912111437_MINTRON-MTP125-1105S1_C358687.pdf,https://assets.lcsc.com/images/lcsc/900x900/20190121_MINTRON-MTP125-1105S1_C358687_back.jpg,"[{MountingType,Straight}]"
Connectors,Headers and Wire Housings,DF13-2P-1.25H(21),Hirose Electric Co Ltd,Male Headers,"CONN HEADER SMD R/A 2POS 1.25MM Connector Header Surface Mount Right Angle 2 position 0.049"" (1.25mm)",5,126.0225,,DF13,https://www.hirose.com/product/document?clcode=CL0536-0109-0-76&productname=DF13-10P-1.25DSA(76)&series=DF13&documenttype=Catalog&lang=en&documentid=D31687_en,https://media.digikey.com/photos/Hirose%20Elect%20Photos/DF13-2P-1.25H(20).jpg,"[{MountingType,Surface Mount}]"
Connectors,Screw Terminals,WJ126V-5.0-6P,Ningbo Kangnex Elec,6 Plugin Screw Terminals,6 Plugin P=5mm Screw terminal ROHS,2,60,,,https://datasheet.lcsc.com/lcsc/1912251632_Ningbo-Kangnex-Elec-WJ126V-5-0-6P_C8379.pdf,https://assets.lcsc.com/images/lcsc/900x900/20200730_Ningbo-Kangnex-Elec-WJ126V-5-0-6P_C8379_front.jpg,"[{MountingType,Through Hole}]"
Connectors,Headers and Wire Housings,PHR-2,JST Sales America Inc.,Housings,CONN RCPT HSG 2POS 2.00MM 2 Rectangular Connectors,48,28.005,,PH,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,https://media.digikey.com/photos/JST%20Photos/PHR-2.jpg,"[{MountingType,Free Hanging}]"
Connectors,Memory Connectors,TF-002T-15,SOFNG,Micro SIM Connectors,Deck MicroSD card (TF card) Clamshell SMD SD Card Connectors,2,0,,,https://datasheet.lcsc.com/lcsc/1810121710_SOFNG-TF-002T-15_C125616.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_SOFNG-TF-002T-15_C125616_front_10.jpg,
Connectors,Wire to Wire/Wire to Board Connectors,B13B-PH-K-S(LF)(SN),JST Sales America Inc.,Wire to Board Connectors,1x13P PH 1 2mm 13 Brass StraightP=2mm Wire To Board / Wire To Wire Connector,1,44.808,,,https://datasheet.lcsc.com/lcsc/1810261120_JST-Sales-America-B13B-PH-K-S-LF-SN_C158026.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_JST-Sales-America-B13B-PH-K-S-LF-SN_C158026_front.jpg,
Optoelectronics,Diodes,LTST-C190KGKT,Lite-On Inc.,LEDs,LED GREEN CLEAR CHIP SMD,2000,72.813,Tape & Reel (TR),-,https://optoelectronics.liteon.com/upload/download/DS22-2000-074/LTST-C190KGKT.PDF,"https://media.digikey.com/photos/Lite%20On%20Photos/LTST-C190KGKT,LTST-C190KRKT,LTST-C190KSKT,LTST-C190KYKT.jpg","[{MountingType,Surface Mount},{PackageCase,LED 0603 }]"
Optoelectronics,Diodes,LTST-C150KGKT,Lite-On Inc.,LEDs,LED GREEN CLEAR 1206 SMD,40,98.0175,Tape & Reel (TR),-,https://optoelectronics.liteon.com/upload/download/DS22-2000-072/LTST-C150KGKT.PDF,"https://media.digikey.com/photos/Lite%20On%20Photos/LTST-C150TBKT,LTST-C150KAKT,LTST-C150KGKT.jpg","[{MountingType,Surface Mount},{PackageCase,LED 1206}]"
Optoelectronics,Diodes,LTST-C170KGKT,Lite-On Inc.,LEDs,LED GREEN CLEAR SMD,123,98.0175,Tape & Reel (TR),-,https://optoelectronics.liteon.com/upload/download/DS22-2000-073/LTST-C170KGKT.PDF,"https://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170KGKT,LTST-C170KRKT,LTST-C170KSKT.jpg","[{MountingType,Surface Mount},{PackageCase,LED 0805 }]"
Optoelectronics,Diodes,19-217/BHC-AN1P2/3T,Everlight Elec,LEDs,"Blue 464.5~476.5nm SMD,1.6x0.8x0.8mm Light Emitting Diodes (LED) ROHS",10,11.202,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1811141751_Everlight-Elec-19-21-BHC-AN1P2-3T_C282129.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180929_Everlight-Elec-19-21-BHC-AN1P2-3T_C282129_front.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0603 }]"
Optoelectronics,Diodes,BL-HGE37A-AV-TRB,American Bright Optoelectronics Corporation,LEDs,0402 YELLOW GREEN,4,98.0175,Tape & Reel (TR),-,https://www.americanbrightled.com/pdffiles/led-components/smt/BL-HGE37A-TRB.pdf,https://media.digikey.com/Renders/American-Bright-Optoelectronics-Corporation/BL-HGE37A-AV-TRB.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0402}]"
Optoelectronics,Diodes,TJ-S1005SW4TGLC7K-A5,TOGIALED,LEDs,Green-yellow 573nm 0402 Light Emitting Diodes (LED) ROHS,7,11.202,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1810191242_TOGIALED-TJ-S1005SW4TGLC7K-A5_C273601.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230109_TOGIALED-TJ-S1005SW4TGLC7K-A5_C273601_front.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0402}]"
Optoelectronics,Diodes,2SA0402S11A0JT01,Brightek Optoelectronics,LEDs,Red 615~635nm 0402 Light Emitting Diodes (LED) ROHS,2,14.0025,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1808291043_Brightek-Optoelectronics-2SA0402S11A0JT01_C233194.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_Brightek-Optoelectronics-2SA0402S11A0JT01_C233194_front.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0402}]"
Optoelectronics,Diodes,TJ-S1005SW4TGO6B-A5,TOGIALED,LEDs,Blue 465nm 0402 Light Emitting Diodes (LED) ROHS,6,11.202,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1810191242_TOGIALED-TJ-S1005SW4TGLC6B-A5_C273603.pdf,https://assets.lcsc.com/images/lcsc/900x900/20230109_TOGIALED-TJ-S1005SW4TGLC6B-A5_C273603_front.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0402}]"
Optoelectronics,Diodes,KPHHS1005CGCK,Kingbright,LEDs,LED GREEN CLEAR CHIP SMD,50,103.6185,Tape & Reel (TR),-,https://www.kingbright.com/attachments/file/psearch/000/00/00/KPHHS-1005CGCK(Ver.24B).pdf,https://media.digikey.com/photos/Kingbright%20Photos/APHHS1005QBC%5ED.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0402}]"
Optoelectronics,Diodes,SM4014UWDC02,Bivar Inc.,LEDs,"LED, SURFACE MOUNT, SM4014, 0.2W",37,0,Tape & Reel (TR),-,https://media.digikey.com/pdf/Data%20Sheets/Bivar%20Inc%20PDFs/SM4014_Series.pdf,https://media.digikey.com/Photos/Bivar%20Inc%20Photos/MFG_SM4014.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 4014}]"
Optoelectronics,Diodes,WS2812B,Worldsemi,LEDs,ADDRESS LED DISCRETE SERIAL RGB,25,0,Tape & Reel (TR),-,http://cdn.sparkfun.com/datasheets/BreakoutBoards/WS2812B.pdf,https://media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-13667.jpg,"[{MountingType,Surface Mount}]"
Optoelectronics,Diodes,LTST-C193TBKT-5A,Lite-On Inc.,LEDs,LED BLUE CLEAR CHIP SMD,69,84.015,Tape & Reel (TR),-,https://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C193TBKT-5A.pdf,https://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C193TBKT-5A.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0603 }]"
Optoelectronics,Diodes,19-21SYGC/S530-E2/TR8,Everlight Elec,LEDs,Green-yellow 573nm 0603 Light Emitting Diodes (LED) ROHS,15,5.601,Tape & Reel (TR),-,https://datasheet.lcsc.com/lcsc/1811081329_Everlight-Elec-19-21SYGC-S530-E2-TR8_C136120.pdf,https://assets.lcsc.com/images/lcsc/900x900/20180914_Everlight-Elec-19-21SYGC-S530-E2-TR8_C136120_front.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0603 }]"
Optoelectronics,Diodes,LTST-C191KRKT,Lite-On Inc.,LEDs,LED RED CLEAR SMD,15,72.813,Tape & Reel (TR),-,https://optoelectronics.liteon.com/upload/download/DS22-2000-223/LTST-C191KRKT.PDF,https://media.digikey.com/Renders/Lite%20On%20Renders/LTST-C191TGKT.jpg,"[{MountingType,Surface Mount},{PackageCase,LED 0603 }]"
